region_id,Median_age_of_persons_Census_year_2001,Median_age_of_persons_Census_year_2006,Median_age_of_persons_Census_year_2011,Median_mortgage_repayment_monthly_Census_year_2001,Median_mortgage_repayment_monthly_Census_year_2006,Median_mortgage_repayment_monthly_Census_year_2011,Median_total_personal_income_weekly_Census_year_2001,Median_total_personal_income_weekly_Census_year_2006,Median_total_personal_income_weekly_Census_year_2011,Median_rent_weekly_Census_year_2001,Median_rent_weekly_Census_year_2006,Median_rent_weekly_Census_year_2011,Median_total_family_income_weekly_Census_year_2001,Median_total_family_income_weekly_Census_year_2006,Median_total_family_income_weekly_Census_year_2011,Average_number_of_persons_per_bedroom_Census_year_2001,Average_number_of_persons_per_bedroom_Census_year_2006,Average_number_of_persons_per_bedroom_Census_year_2011,Median_total_household_income_weekly_Census_year_2001,Median_total_household_income_weekly_Census_year_2006,Median_total_household_income_weekly_Census_year_2011,Average_household_size_Census_year_2001,Average_household_size_Census_year_2006,Average_household_size_Census_year_2011
20801,40,41,42,1300,1903,2400,498,614,751,210,270,391,1482,1905,2426,1.1,1.1,1.1,1099,1395,1820,2.5,2.6,2.6
20802,37,37,37,1086,1600,2100,449,541,670,177,220,335,1165,1474,1916,1.1,1.1,1.1,893,1127,1437,2.4,2.4,2.5
20803,37,38,39,953,1408,2000,421,510,638,155,195,300,1041,1306,1723,1.1,1.1,1.1,818,1055,1314,2.4,2.4,2.5
20804,36,36,37,1300,1950,2500,542,642,774,195,230,346,1595,2051,2485,1.1,1.1,1.1,1121,1391,1764,2.5,2.5,2.5
20901,37,38,39,936,1350,1900,420,503,616,165,201,300,1113,1364,1730,1.1,1.1,1.1,931,1139,1392,2.6,2.6,2.6
20902,36,37,36,867,1300,1800,288,354,454,150,180,282,785,1023,1253,1.2,1.1,1.2,656,808,1050,2.6,2.5,2.5
20903,33,36,38,1000,1400,1950,479,561,685,170,220,309,1318,1610,2031,1.1,1.1,1.1,1199,1452,1822,3.1,3.1,3.0
20904,32,34,34,867,1300,1842,354,412,524,165,200,300,931,1122,1387,1.1,1.1,1.1,886,1057,1285,3.2,3.1,3.0
21001,38,40,41,986,1320,1900,386,443,545,180,210,310,1040,1214,1543,1.1,1.1,1.1,919,1076,1291,2.8,2.7,2.7
21002,35,37,39,890,1300,1733,429,518,627,148,195,260,1118,1376,1757,1.1,1.1,1.1,1010,1224,1538,3.0,2.9,2.8
21003,37,38,36,867,1300,1800,298,361,462,150,185,295,782,1002,1240,1.1,1.1,1.1,666,787,1042,2.6,2.5,2.6
21004,32,34,36,867,1300,1647,430,510,623,160,190,270,1085,1324,1634,1.1,1.1,1.1,991,1175,1416,3.0,2.9,2.8
21005,30,32,32,867,1300,1733,337,375,437,150,185,289,881,1054,1222,1.2,1.1,1.1,833,981,1156,3.2,3.1,3.1
21101,33,36,38,867,1257,1733,430,499,597,165,201,300,1107,1309,1610,1.1,1.1,1.1,989,1161,1398,2.9,2.8,2.8
21102,36,38,41,1200,1600,2100,489,558,672,200,245,350,1448,1739,2131,1.1,1.1,1.0,1266,1522,1876,3.1,3.0,3.0
21103,35,37,38,867,1259,1733,431,501,608,160,195,290,1080,1284,1614,1.1,1.1,1.1,905,1087,1303,2.6,2.6,2.6
21104,37,38,39,953,1336,1900,420,497,589,171,210,314,1121,1352,1652,1.1,1.1,1.1,926,1132,1349,2.6,2.6,2.6
21105,34,36,38,823,1200,1647,402,474,578,145,185,265,1003,1209,1491,1.1,1.1,1.1,886,1085,1278,2.9,2.8,2.7
21201,33,34,34,810,1300,1733,395,477,593,145,180,280,967,1198,1479,1.1,1.1,1.1,863,1086,1302,2.9,2.9,2.8
21202,32,34,35,867,1300,1733,412,471,554,160,195,295,1022,1213,1477,1.1,1.1,1.1,944,1121,1343,3.1,3.0,3.0
21203,30,31,32,867,1300,1733,429,488,587,150,190,291,967,1163,1428,1.1,1.1,1.1,901,1094,1337,3.0,3.0,3.1
21204,35,36,36,758,1100,1600,308,355,412,138,162,259,813,975,1101,1.2,1.2,1.2,718,815,991,2.9,2.8,2.8
21205,38,38,38,1000,1417,2000,393,440,518,185,230,345,1086,1284,1543,1.1,1.1,1.1,944,1121,1316,2.7,2.7,2.7
